"","id","state","district","village","year","roadPaved","distanceToPavedRoad","roadMonsoonUsability","yearsWithPavedRoad","lnDistanceToPavedRoad","ImmunizationCampaignsNumber","distanceToNearestTown","distanceToNearestDistrictHQ","area","populationCategories","householdNumbersOf","mbCataract","mbTuberculosis","mbHighBP","mbHeartDisease","mbDiabetes","mbLeprosy","mbCancer","mbAsthma","mbPolio","mbParalysis","mbEpilepsy","mbMentalIllness","mbSTDorAIDS","mbOtherLongTerm","mbDaysIncapacitated","mbTreatmentRecieved","mbDaysHospitalized","mbCostOfTreatment","mbCostIncludesMedication","mbCostOfMeds","mbTravelExpenses","mbAnyDisease","mbComDisease","mbNonComDisease","smokeTobacco","chewTobacco","drinkAlcohol","illiterate","attendedSchool","urban","income","yearsLivingHere","ownToilet","electricity","electricityHours","seenDoctor","healthSubCenter","primaryHealthCenter","communityHealthCenter","govtMaternityCenter","pvtClinicTrainedDoc","pvtClinicUntrainedDoc","pvtHospital","pvtPharm","otherGovtMedFacility","distHealthSubCenter","distPrimaryHealthCenter","distCommunityHealthCenter","distDistrictHospital","distGovtMaternityCenter","distPvtClinicTrainedDoc","distPvtClinicUntrainedDoc","distPvtHospital","distPvtPharm","distOtherGovtMedFacility","caste.Brahmin","caste.OBC","caste.SC","caste.ST","caste.Other","drinkingWaterSource.Piped","drinkingWaterSource.TubeWell","drinkingWaterSource.HandPump","drinkingWaterSource.OpenWell","drinkingWaterSource.CoveredWell","drinkingWaterSource.River","drinkingWaterSource.Pond","drinkingWaterSource.Truck","drinkingWaterSource.RainWater","drinkingWaterSource.Bottled","drinkingWaterSource.Other","drinkingWaterSource.NA","mbTreatmentWho1.NA","mbTreatmentWho1.PublicDoc","mbTreatmentWho1.PublicDocInPvt","mbTreatmentWho1.PvtDoc","mbTreatmentWho1.Pharm","mbTreatmentWho1.OtherOrTraditional","mbTreatmentWhere1.NA","mbTreatmentWhere1.SameVillage","mbTreatmentWhere1.AnotherVillage","mbTreatmentWhere1.OtherTown","mbTreatmentWhere1.DistrictTown","mbTreatmentWho2.NA","mbTreatmentWho2.PublicDoc","mbTreatmentWho2.PublicDocInPvt","mbTreatmentWho2.PvtDoc","mbTreatmentWho2.Pharm","mbTreatmentWho2.OtherOrTraditional","mbTreatmentWhere2.NA","mbTreatmentWhere2.SameVillage","mbTreatmentWhere2.AnotherVillage","mbTreatmentWhere2.OtherTown","mbTreatmentWhere2.DistrictTown"
"1","1.12.1",1,12,1,2012,1,0,0,1,0,2,4,85,"","","",0,0,3.33333333333333,1.11111111111111,1.11111111111111,0,0,0,0,0,0,0,0,11.1111111111111,4.77777777777778,0.166666666666667,0.655555555555556,1558.95555555556,5.55555555555556,1400.55555555556,83.7777777777778,11.1111111111111,0,0,3.07692307692308,1.69230769230769,2.07692307692308,0.811111111111111,0.822222222222222,0,170056.9,73,30,100,11.65,1,1,0,0,0,0,0,0,0,0,NA,7,4,85,4,4,4,4,4,4,90,0,10,0,0,25,0,15,0,0,60,0,0,0,0,0,0,83.3333333333333,7.77777777777778,4.44444444444444,3.33333333333333,0,1.11111111111111,83.3333333333333,0,0,13.3333333333333,3.33333333333333,94.4444444444444,1.11111111111111,1.11111111111111,3.33333333333333,0,0,94.4444444444444,0,0,5.55555555555556,0
"2","1.12.3",1,12,3,2012,1,0,1,20,0,2,25,60,"","","",0,0,3.96039603960396,3.96039603960396,0.99009900990099,0,0,0.99009900990099,0,0.99009900990099,0,0,0,5.94059405940594,5.2970297029703,0.138613861386139,0.554455445544555,482.49504950495,1.98019801980198,2074.25742574257,173.762376237624,5.94059405940594,0,0,2.46153846153846,2.38461538461538,3,0.841584158415842,0.861386138613861,0,216620.454545455,55.6363636363636,27.2727272727273,100,11.8636363636364,1,0,0,0,0,0,1,0,1,0,10,10,25,60,25,25,NA,25,NA,25,40.9090909090909,4.54545454545455,0,0,54.5454545454545,31.8181818181818,0,50,0,0,18.1818181818182,0,0,0,0,0,0,86.1386138613861,3.96039603960396,0,8.91089108910891,0,0.99009900990099,86.1386138613861,0,0,10.8910891089109,2.97029702970297,97.029702970297,0,0,2.97029702970297,0,0,97.029702970297,0,0,0.99009900990099,1.98019801980198
"3","1.12.4",1,12,4,2012,1,0,0,14,0,4,8,8,"","","",0,0.709219858156028,5.67375886524823,0.709219858156028,3.54609929078014,0,0.709219858156028,0.709219858156028,0,0,0.709219858156028,0,0,3.54609929078014,9.16312056737589,0.134751773049645,0.141843971631206,1507.09219858156,1.41843971631206,1195.74468085106,27.3049645390071,3.54609929078014,0.709219858156028,0,2.54545454545455,2.36363636363636,1,0.75177304964539,0.773049645390071,0,175154.206896552,84.8275862068966,31.0344827586207,100,9.06896551724138,1,0,0,0,0,0,0,0,0,0,8,6,8,8,8,8,8,8,8,8,0,6.89655172413793,3.44827586206897,34.4827586206897,55.1724137931034,17.2413793103448,3.44827586206897,34.4827586206897,0,0,13.7931034482759,0,0,0,0,31.0344827586207,0,86.5248226950355,0,0,13.4751773049645,0,0,86.5248226950355,0,2.12765957446809,0.709219858156028,10.6382978723404,99.290780141844,0,0.709219858156028,0,0,0,99.290780141844,0,0,0,0.709219858156028
"4","1.12.6",1,12,6,2012,1,0,0,3,0,4,17,65,"","","",0.917431192660551,0,5.5045871559633,0.917431192660551,0.917431192660551,0,0,0,0,0,0,0,0,3.6697247706422,1.88073394495413,0.100917431192661,0.155963302752294,180.073394495413,4.58715596330275,504.587155963303,27.0642201834862,3.6697247706422,0,0,3.47619047619048,2.66666666666667,2.61904761904762,0.651376146788991,0.688073394495413,0,106243.125,67.5,0,100,12.8333333333333,1,1,0,0,0,0,0,0,0,0,NA,2,19,65,4,2,2,30,4,30,33.3333333333333,0,25,0,41.6666666666667,4.16666666666667,0,12.5,20.8333333333333,0,62.5,0,0,0,0,0,0,89.9082568807339,3.6697247706422,0,6.42201834862385,0,0,89.9082568807339,0,1.8348623853211,7.3394495412844,0.917431192660551,100,0,0,0,0,0,100,0,0,0,0
"5","1.13.1",1,13,1,2012,1,0,1,44,0,3,5,5,"","","",0,0,4.58715596330275,0,1.8348623853211,0,0,0.917431192660551,0,0,0,0.917431192660551,0,2.75229357798165,2.28440366972477,0.100917431192661,0.412844036697248,233.981651376147,0.917431192660551,773.394495412844,45.4128440366973,2.75229357798165,0,0.917431192660551,2.58823529411765,1.35294117647059,2.35294117647059,0.798165137614679,0.807339449541284,0,128170.227272727,65.5454545454545,31.8181818181818,100,12.4545454545455,0.954545454545455,1,0,0,0,0,2,0,2,0,NA,5,5,6,5,5,NA,5,NA,5,13.6363636363636,4.54545454545455,45.4545454545455,4.54545454545455,31.8181818181818,4.54545454545455,0,68.1818181818182,22.7272727272727,4.54545454545455,0,0,0,0,0,0,0,89.9082568807339,2.75229357798165,0,5.5045871559633,0.917431192660551,0.917431192660551,89.9082568807339,1.8348623853211,0,8.25688073394496,0,96.3302752293578,2.75229357798165,0.917431192660551,0,0,0,96.3302752293578,0,0.917431192660551,2.75229357798165,0
"6","1.13.15",1,13,15,2012,1,0,0,50,0,8,8,8,"","","",1.02040816326531,0,4.08163265306122,0,3.06122448979592,0,0,2.04081632653061,0,0,1.02040816326531,0,0,5.10204081632653,3.18367346938776,0.13265306122449,0.448979591836735,1103.57142857143,3.06122448979592,1679.59183673469,78.0612244897959,5.10204081632653,0,0,1.55555555555556,2.11111111111111,2.44444444444444,0.785714285714286,0.816326530612245,0,179008.958333333,84.3333333333333,33.3333333333333,100,4.83333333333333,0.958333333333333,1,0,0,0,0,2,0,2,0,NA,8,12,9,9,4,NA,5,NA,9,12.5,25,58.3333333333333,0,4.16666666666667,8.33333333333333,20.8333333333333,70.8333333333333,0,0,0,0,0,0,0,0,0,86.734693877551,4.08163265306122,8.16326530612245,0,0,1.02040816326531,86.734693877551,12.2448979591837,0,0,1.02040816326531,100,0,0,0,0,0,100,0,0,0,0
"7","1.13.2",1,13,2,2012,0,5,0,NA,1.6094379124341,2,15,75,"","","",0,0,4.34782608695652,1.44927536231884,1.44927536231884,0,0,5.79710144927536,0,0,0,0,0,4.34782608695652,2.17391304347826,0.144927536231884,0.333333333333333,94.6376811594203,0,276.811594202899,8.69565217391304,4.34782608695652,0,0,3,3.33333333333333,2.33333333333333,0.608695652173913,0.666666666666667,0,121277.5625,90,6.25,93.75,15.0666666666667,1,0,0,0,0,0,0,0,0,0,12,4,35,70,35,35,5,35,1,35,100,0,0,0,0,50,0,37.5,12.5,0,0,0,0,0,0,0,0,85.5072463768116,10.1449275362319,0,4.34782608695652,0,0,85.5072463768116,5.79710144927536,0,7.2463768115942,1.44927536231884,100,0,0,0,0,0,100,0,0,0,0
"8","1.13.3",1,13,3,2012,0,1,0,NA,0,4,8,35,"","","",0,0,3.15789473684211,2.10526315789474,1.05263157894737,0,0,2.10526315789474,0,0,0,0,0,3.15789473684211,1.22105263157895,0.115789473684211,0.157894736842105,687.515789473684,1.05263157894737,305.263157894737,15.7894736842105,3.15789473684211,0,0,3.625,2.125,2.25,0.642105263157895,0.673684210526316,0,119504.722222222,85.5555555555556,22.2222222222222,100,11.8888888888889,1,0,0,0,0,0,0,0,0,0,1,8,1,30,1,8,8,8,1,8,83.3333333333333,0,16.6666666666667,0,0,22.2222222222222,11.1111111111111,55.5555555555556,0,0,0,0,11.1111111111111,0,0,0,0,88.4210526315789,9.47368421052632,1.05263157894737,1.05263157894737,0,0,88.4210526315789,0,3.15789473684211,7.36842105263158,1.05263157894737,100,0,0,0,0,0,100,0,0,0,0
"9","1.13.4",1,13,4,2012,1,0,1,52,0,2,2,26,"","","",2.04081632653061,0,6.12244897959184,4.08163265306122,3.06122448979592,0,0,1.02040816326531,0,0,0,0,0,8.16326530612245,4.83673469387755,0.23469387755102,0.744897959183674,233.69387755102,11.2244897959184,1639.79591836735,155.612244897959,8.16326530612245,0,0,2.66666666666667,1.25,2.16666666666667,0.806122448979592,0.806122448979592,0,216239.428571429,65,66.6666666666667,100,12.4285714285714,1,1,1,0,0,0,2,0,0,0,NA,NA,2,23,2,2,NA,1,2,2,9.52380952380952,4.76190476190476,0,0,85.7142857142857,0,28.5714285714286,71.4285714285714,0,0,0,0,0,0,0,0,0,76.530612244898,11.2244897959184,4.08163265306122,8.16326530612245,0,0,76.530612244898,2.04081632653061,0,16.3265306122449,5.10204081632653,98.9795918367347,0,0,0,0,1.02040816326531,98.9795918367347,0,0,1.02040816326531,0
"10","1.13.5",1,13,5,2012,1,0,0,25,0,5,8,8,"","","",0,0,3,1,0,1,0,0,0,1,0,0,0,6,12.05,0.11,0.94,347,0,2336,119.5,6,0,0,1.64705882352941,2.11764705882353,2.35294117647059,0.78,0.82,1,175638.5,80,35,100,7.3,0.95,1,0,0,0,0,0,0,0,0,NA,3,6,8,8,2,1,4,2,2,5,5,70,0,20,95,0,0,0,0,0,0,5,0,0,0,0,89,0,4,7,0,0,89,11,0,0,0,98,0,2,0,0,0,98,2,0,0,0
